"Localidad","Dia","HoraInt","Homicidios"
"Santa Fe","domingo","[4-8)",5
"Santa Fe","miércoles","[20-24)",11
"Santa Fe","domingo","[8-12)",5
"Santa Fe","jueves","[16-20)",8
"Santa Fe","jueves","[20-24)",16
"Santa Fe","viernes","[16-20)",10
"Santa Fe","martes","[12- 16)",6
"Santa Fe","lunes","[12- 16)",6
"Santa Fe","viernes","[20-24)",17
"Santa Fe","domingo","[0-4)",13
"Santa Fe","domingo","[12- 16)",6
"Santa Fe","lunes","[16-20)",12
"Santa Fe","sábado","[0-4)",26
"Santa Fe","jueves","[0-4)",11
"Santa Fe","viernes","[4-8)",10
"Santa Fe","lunes","[4-8)",4
"Santa Fe","viernes","[8-12)",9
"Santa Fe","miércoles","[8-12)",4
"Santa Fe","jueves","[8-12)",5
"Santa Fe","miércoles","[4-8)",5
"Santa Fe","martes","[4-8)",3
"Santa Fe","miércoles","[12- 16)",11
"Santa Fe","lunes","[0-4)",7
"Santa Fe","miércoles","[16-20)",3
"Santa Fe","sábado","[16-20)",7
"Santa Fe","domingo","[16-20)",4
"Santa Fe","jueves","[4-8)",7
"Santa Fe","jueves","[12- 16)",3
"Santa Fe","domingo","[20-24)",10
"Santa Fe","martes","[0-4)",5
"Santa Fe","sábado","[8-12)",8
"Santa Fe","viernes","[12- 16)",2
"Santa Fe","martes","[8-12)",3
"Santa Fe","miércoles","[0-4)",3
"San Cristobal","jueves","[4-8)",12
"San Cristobal","jueves","[8-12)",6
"San Cristobal","viernes","[16-20)",13
"San Cristobal","viernes","[8-12)",8
"San Cristobal","sábado","[0-4)",86
"San Cristobal","viernes","[20-24)",34
"San Cristobal","viernes","[12- 16)",7
"San Cristobal","sábado","[20-24)",26
"San Cristobal","domingo","[0-4)",18
"San Cristobal","lunes","[8-12)",6
"San Cristobal","jueves","[16-20)",15
"San Cristobal","lunes","[20-24)",16
"San Cristobal","martes","[16-20)",15
"San Cristobal","lunes","[12- 16)",5
"San Cristobal","martes","[20-24)",22
"San Cristobal","lunes","[0-4)",11
"San Cristobal","miércoles","[20-24)",15
"San Cristobal","viernes","[0-4)",15
"San Cristobal","domingo","[20-24)",16
"San Cristobal","martes","[12- 16)",5
"San Cristobal","domingo","[16-20)",7
"San Cristobal","sábado","[12- 16)",12
"San Cristobal","viernes","[4-8)",9
"San Cristobal","domingo","[8-12)",8
"San Cristobal","miércoles","[16-20)",12
"San Cristobal","sábado","[4-8)",31
"San Cristobal","sábado","[8-12)",20
"San Cristobal","martes","[8-12)",8
"San Cristobal","lunes","[16-20)",12
"San Cristobal","sábado","[16-20)",19
"San Cristobal","jueves","[12- 16)",9
"San Cristobal","jueves","[20-24)",18
"San Cristobal","martes","[0-4)",7
"San Cristobal","domingo","[4-8)",10
"San Cristobal","miércoles","[8-12)",8
"San Cristobal","miércoles","[4-8)",3
